Page ID,Page name,Disclaimer,Amount spent (GBP)
40952091012,Asthma + Lung UK,Asthma + Lung UK,≤100
101050755332512,Rutland and Melton Conservatives,Jonathan Ball,≤100
217279018691547,Healthy London Partnership,These ads ran without a disclaimer,≤100
103050749028802,Israel4Ukraine,These ads ran without a disclaimer,≤100
148726998530273,Sinn Féin Ireland,Sinn Féin Ireland,≤100
1608245282744484,Yorkshire and the Humber Labour Party,the Labour Party,≤100
68793499001,UNICEF,UNICEF,≤100
21517406388,Trees for Cities,Trees for Cities,≤100
185625017130,Wandsworth Labour,Wandsworth Labour,≤100
767155079969168,Welwyn Hatfield Labour,Welwyn Hatfield Labour,≤100
340765843103289,Witney and West Oxfordshire Liberal Democrats,West Oxfordshire Liberal Democrats,≤100
1701849696765542,Prysmian UK,Prysmian UK,≤100
288973684784789,Atmosphere Press,These ads ran without a disclaimer,≤100
1727970884168768,Mayorbfc,Alvin Edwin Finch,≤100
311654993038848,forwomen.scot,For Women Scotland,≤100
177855115588808,The Week UK,The Week UK,≤100
0,Instagram User 5635398597,These ads ran without a disclaimer,≤100
140438519454819,St Albans Liberal Democrats,St Albans Liberal Democrats,≤100
189011378113059,3INA,These ads ran without a disclaimer,≤100
940454292763854,Labour Councillors for Peverell,Plymouth Labour,≤100
322330594490707,West Oxfordshire Green Party,West Oxfordshire Green Party,≤100
1863944713844924,Best For Britain,Best For Britain,≤100
2047806148766050,Animal Equality UK,Animal Equality UK,≤100
138385936213569,Northern Ireland Water,Northern Ireland Water,≤100
134077510212,Aberlour Children's Charity,"Aberlour Child Care Trust,",≤100
155791054542837,Davpack Packaging Supplies,Davpack,≤100
239172972878478,Montgomeryshire Liberal Democrats,Harry John Robson,≤100
101700265787161,What's the story? Sounds,What's The Story Sounds,≤100
130991243645981,Caerphilly County Borough Council,Caerphilly County Borough Council,≤100
786858324659093,Hunts Lib Dems,Huntingdonshire Liberal Democrats,≤100
146549422028829,The TaxPayers' Alliance,The TaxPayers' Alliance,≤100
28928259418,"Saïd Business School, University of Oxford",These ads ran without a disclaimer,≤100
1952937738335006,Revolutionary Tech,Southbank Investment Research Limited,≤100
246973468695197,Pan Macmillan,Pan Macmillan,≤100
252946378095154,Enfield Council,Enfield Council,≤100
664726666907121,Plaid Cymru Islwyn,Plaid Islwyn Campaign,≤100
1383391088631828,"Unite - North East, Yorkshire and Humber","Unite - North East, Yorkshire and Humber",≤100
109076340703844,"Loma - Search all the secondhand, rent and repair sites in one click",Loma,≤100
275061964349252,Respectful Eggs,Respectful Eggs,≤100
1586251881644270,Keir Starmer,The Labour Party,≤100
755981037856291,Conor Burns MP for Bournemouth West,Conor Burns MP,≤100
105341155316939,"Councillor Minesh Parekh, Crookes & Crosspool",Crookes and Crosspool Labour Party,≤100
1108745509233210,Merton Conservatives,Wandsworth and Wimbledon Conservatives,≤100
141193355899365,Alabaré,Alabaré Christian Care & Support,≤100
331351247229,Wandsworth Conservatives,Wandsworth and Merton Conservatives,≤100
107274939320795,Portsmouth City Council,These ads ran without a disclaimer,≤100
1569196276690742,RCTN,Rape Crisis Tyneside and Northumberland,≤100
107426157397329,Momentum Egyesült Királyság,Momentum Mozgalom,≤100
814286971994326,Daniel McCrossan MLA,SDLP,≤100
122052607808255,CAGE,CAGE,≤100
2303250593259491,Coffee Logs,bio-bean,≤100
117476785190,Save the Children UK,These ads ran without a disclaimer,≤100
852673351431587,Ann Bell Councillor for Fraserburgh & District,and promoted by Robert Leslie on behalf of Ann Bell ( Scottish Liberal Democrats ) both of 71 High Street Inverurie AB51 3QJ,≤100
683113385139713,Alastair Redman,"ALASTAIR JOHN, , , , , , , XXI REDMAN",≤100
1369071103242304,Project Heating Solutions,These ads ran without a disclaimer,≤100
118713096203013,Stewart Douglas for Shetland,These ads ran without a disclaimer,≤100
903785233027332,LSESU Pakistan Development Society,Mohammad Hashir Khan,≤100
8403816082,Global Action Plan,Global Action Plan,≤100
310531132443420,Concern Worldwide UK,Concern Worldwide UK,≤100
608578919186659,World Vision International,World Vision International,≤100
708244105887478,Readly,These ads ran without a disclaimer,≤100
218097598221360,Fife Labour,Fife Labour,≤100
10677003998,Shelter,Shelter,≤100
18933990398,Stonewall,Paid for by Stonewall with Facebook ad credits,≤100
401847960644025,Extinction Rebellion UK,Extinction Rebellion,≤100
101283249222651,Hazel G Mansfield,Hazel Glenys Mansfield,≤100
152227274851194,Global Birthing Home Foundation,These ads ran without a disclaimer,≤100
299252797425286,Eóin Tennyson MLA,Eoin Ciaran Tennyson,≤100
100508905886807,Theramex Global,These ads ran without a disclaimer,≤100
481693768508577,Kent Community Health NHS Foundation Trust,Kent Community Health NHS Foundation Trust,≤100
101763005785215,Pockla,These ads ran without a disclaimer,≤100
434577110251463,ShelterIt,These ads ran without a disclaimer,≤100
107584191543,Ulster Unionist Party,Ulster Unionist Party,≤100
308291623138631,Eco Foot-Print,Richard Lee Hughes,≤100
195754307110390,Right To Life UK,Right To Life UK,≤100
2378768448836033,Guylian.UK,These ads ran without a disclaimer,≤100
97116898596,Sightsavers,Sightsavers,≤100
102474165598286,Worship Square,These ads ran without a disclaimer,≤100
101400109195795,Ambiancesys Q,These ads ran without a disclaimer,≤100
95597922197,Batiste,re:act,≤100
101959355653120,Oh Yes Net Zero,These ads ran without a disclaimer,≤100
425435420806576,Angel Olsen,These ads ran without a disclaimer,≤100
103240845537105,Councillor Sarah Judge,Manchester Labour,≤100
165099760197787,Welsh Government,Welsh Government,≤100
474216685502,Filmhouse,These ads ran without a disclaimer,≤100
105016885359360,Up to Us powered by Veolia,These ads ran without a disclaimer,≤100
15974534830,Magnum Photos,These ads ran without a disclaimer,≤100
101781491580545,Bank On Our Future,The Sunrise Project,≤100
411335395592489,Endometriosis UK,Endometriosis UK,≤100
97708339756,Action for Children,Action for Children,≤100
102464849000482,Councillor David Taylor,David Andrew Taylor,≤100
34044296391,Surfers Against Sewage,Surfers Against Sewage,≤100
766682776842010,Infinity Consultancy Solutions,Darren Raymond A Hughes,≤100
125931370808556,National Secular Society,National Secular Society,≤100
523852671440088,Scribe,Starboard Systems Ltd t/a Scribe,≤100
108289788007047,Let Us Pray,The Christian Institute,≤100
116241615098489,Dogwoof,Dogwoof,≤100
100714179245183,Viljo for VP Community & Welfare,Viljo George Rafiq Wilding,≤100
100140032259963,Hicomply,These ads ran without a disclaimer,≤100
2225627931013092,Councillor Salman Akbar,Redditch Conservatives,≤100
105476585016614,Cllr Graham Beale for Warden Hill,Graham Anthony Beale,≤100
105234254646385,Image N Pay,These ads ran without a disclaimer,≤100
157492274367801,Cruelty Free International,Cruelty Free International,≤100
461289837229836,Mole Valley Conservatives,Mole Valley Conservatives,≤100
690237427809232,Renfrewshire Labour,Renfrewshire Labour. Promoted by Margaret McCormick on behalf of Renfrewshire Labour,≤100
101249151647763,Trevor Mason Liberal Democrat,Trevor Booth Mason,≤100
103152315386803,Bassetlaw Labour,Bassetlaw Labour,≤100
102677939033481,UkraineInNeed.org,These ads ran without a disclaimer,≤100
585253558594078,Police.uk,Police UK,≤100
128023497333373,Trossachs & Teith SNP,Eugene Patrick Maxwell,≤100
529056943947948,Home Office,Home Office,≤100
105500485484814,Dai Evans - Independent,David Benjamin Evans,≤100
150300461707942,National Zakat Foundation,These ads ran without a disclaimer,≤100
218711018144616,Chris Packham,Chris Packham,≤100
108385790816204,Oltco Ltd,Oltco Ltd,≤100
1477945425811579,BBC Sounds,These ads ran without a disclaimer,≤100
111741094024969,Market Forces UK,Market Forces,≤100
1414985198733772,Jim Allister,Traditional Unionist Voice,≤100
356808677783129,Tees Issues by Andy Preston,Andy Preston,≤100
164471235877,Welsh Liberal Democrats,"and promoted by and on behalf of the Welsh Liberal Democrats, 15th Floor, Brunel House, 2 Fitzalan Road, Cardiff, CF24 0EB",≤100
112712550420527,Sumofus UK,SumOfUs,≤100
0,Instagram User 2927861140,These ads ran without a disclaimer,≤100
0,Instagram User 8002346686,These ads ran without a disclaimer,≤100
490007667679401,Hugh James,Hugh James,≤100
943840712330932,TUV - Traditional Unionist Voice,TUV,≤100
290477280982188,Dundee SNP,Dundee SNP,≤100
147633985979116,Swindon Labour Councillors,Swindon Labour,≤100
