Page ID,Page name,Disclaimer,Amount spent (GBP)
220543443746,International Rescue Committee - UK,International Rescue Committee - UK,142
712578428942960,Заборона,These ads ran without a disclaimer,142
102686421238918,Prevented Ocean Plastic,Bantam Materials,141
798512170219069,Rewilding Britain,Rewilding Britain,140
234881964773,Vintage Books,Vintage Books,140
112594468002182,"Levelling Up Ammanford, Ymlaen Rhydaman, Anthony Jones and Calum Higgins",Mr Calum Paul Higgins,138
163862575762,Embrace the Middle East,Embrace the Middle East,138
106366945126612,Aimi Waters for Gresford,Ms Aimi Samantha Waters,136
107833761839534,Ian Parry,Ian Pryce Parry,136
21019330647,Environmental Investigation Agency,Environmental Investigation Agency,136
552996355160282,Carmarthenshire Conservatives,Carmarthen East & Dinefwr Conservatives,136
138975109451461,Free Tibet,Free Tibet,135
251417845570745,Refill Wales,City To Sea,135
388650307829032,Rachel Reeves,Office of Rachel Reeves MP,134
105360591146333,Clean Up Gambling,MATTHEW GEORGE ZARB-COUSIN,133
131681033513,Possible,Possible,133
8751993250,Equality and Human Rights Commission,Equality and Human Rights Commission,132
910473105720894,Llandaff North Labour,Llandaff North Labour,131
313648988794288,Plaid Cymru Arfon,Plaid Cymru Arfon,130
104926231696719,The Elli We Want.,Nicholas John Pearce,129
18933990398,Stonewall,Stonewall UK,129
113728932022446,Internet Watch Foundation,Internet Watch Foundation,129
107286223667,Kurt Geiger,Kurt Geiger,127
1738524969810037,Mission India UK,Mission India UK,127
85549822738,Peace Direct,Peace Direct,126
106313615363998,James Cook & Dylan Lewis-Rowlands,James Ralph Cook,125
103273814470,SolarAid,SolarAid,124
205048253266942,Llanedeyrn & Pentwyn Together,Miss Hannah May Mccarthy,124
137491719653536,Governors for Schools,Governors for Schools,122
1046117708754519,Care4Calais,Care4Calais,122
8876787713,Mental Health Foundation,These ads ran without a disclaimer,121
34044296391,Surfers Against Sewage,Surfers Against Sewage,121
101890092432762,Jayne & Tina for Graig & Pontypridd West,Rhondda Cynon Taf Labour,120
100140032259963,Hicomply,These ads ran without a disclaimer,120
401847960644025,Extinction Rebellion UK,Extinction Rebellion,119
172710059485626,Keep Our NHS Public,Keep Our NHS Public,117
270313313084974,Newtown.wales,newtown.wales,117
54265089285,Explore,Explore,116
251417845570745,Refill Wales,These ads ran without a disclaimer,116
105782271951086,Laleston Independents,Ian Matthew Spiller,115
202798122688,Chatham House,Chatham House,115
333572427218626,Tortoise Media,Tortoise Media,114
264444526901270,Human Aid UK,Human Aid UK,114
292169941434153,EarthBits,EarthBits,114
235916463134442,Jeremy Gilley,Peace One Day,113
223357247712390,PETA UK,These ads ran without a disclaimer,111
141193355899365,Alabaré,Alabaré Christian Care & Support,111
108289788007047,Let Us Pray,The Christian Institute,110
1446491662056129,Just Treatment,Just Treatment,108
106205865302441,Just Stop Oil,Just Stop Oil,108
1444592122425077,Hope for the Future,Hope for the Future,106
114604822035810,The Bike Project,The Bike Project,106
1834464963478547,Heath & Birchgrove Labour Community News,Cllr Graham Hinchey (http://www.heathandbirchgrovelabour.org.uk/),105
30661956224,The Leadmill,The Leadmill Ltd,104
106221845352902,Reform Ynys Mon,Sam Andrew Wood,104
2168480816734086,Flight Free UK,Flight Free UK,103
485290418240956,ROCKWOOL,These ads ran without a disclaimer,101
188863377824978,Muslim Aid,These ads ran without a disclaimer,101
353883835297870,Engage Britain,Engage Britain,101
7783116506,Animals Asia,These ads ran without a disclaimer,101
210786739051667,Woodland Trust Cymru,These ads ran without a disclaimer,≤100
115774426806056,Novus,Novus,≤100
1538311623148335,Neil McEvoy,Mr Neil John Mcevoy,≤100
1597563513824370,Planetmagazine CylchgrawnPlanet,Emily Mary Loveday Trahair,≤100
102694068534517,Cllr. Thea Brain for Mostyn Ward Llandudno,Emily Hannah Owen,≤100
200160670017135,Continental Tyres UK,Continental Tyre Group Ltd,≤100
260012884055691,Metropolitan Police Service,Metropolitan Police Service,≤100
1436588603227138,Carrie Harper,Carrie Anne Harper,≤100
100857999193018,Cyng/Cllr Beca Roberts - Tregarth & Mynydd Llandygai,Plaid Cymru Arfon,≤100
208636333070965,Rosie Sales,These ads ran without a disclaimer,≤100
262353817289956,Grind,These ads ran without a disclaimer,≤100
111382818133036,Peter Bailie,Mr Daniel Matthew Bailie,≤100
608578919186659,World Vision International,World Vision International,≤100
111694145580639,Wales & West Utilities,These ads ran without a disclaimer,≤100
11936918897,easyJet,These ads ran without a disclaimer,≤100
270209769668784,Jackson Harries,These ads ran without a disclaimer,≤100
208202162442,The Midcounties Co-operative,The Midcounties Co-operative,≤100
124471347603278,Positive Money UK,Positive Money,≤100
105584301278979,Lewis & Scott,Lewis & Scott,≤100
108780457170240,Cut Carbon Not Forests,Cut Carbon Not Forests,≤100
103914348936787,Rab & Mal for Llantwit Fardre,Llantwit Fardre Labour,≤100
143837658998810,WWT,Wildfowl and Wetlands Trust,≤100
107430445245407,Jade Smith - Welsh Liberal Democrats - Pontyclun Central,RCT Liberal Democrats,≤100
956673084523624,Good Club,These ads ran without a disclaimer,≤100
206016863219110,Gele Conservatives,Mark Edward Baker,≤100
111027124838230,Glyn Y Marl - 2022 Local Election: Conservative Candidates,North West Wales Conservatives,≤100
108560649181404,READ Foundation,READ FOUNDATION,≤100
110675074871521,Anne for Trallwn,Pontypridd Labour,≤100
104699975508955,Andrew Moss for Little Acton,Andrew John Moss,≤100
110429874954825,Plaid Cymru Abercarn,Illtud Rhodri I Jones,≤100
103090485214325,Oltco Ltd,Oltco Ltd,≤100
109303140903518,Keller Lenkner Data Breach,Keller Lenkner UK Ltd,≤100
104321945367143,LCR Be More Apprenticeships,Liverpool City Region Combined Authority,≤100
102933812166297,The Cyber Resilience Centre for Wales,These ads ran without a disclaimer,≤100
103528041204183,Times Radio,Erin Mary Wilson,≤100
6406164817,Viva!,Viva! Vegan Charity,≤100
100959719644,The New Statesman,New Statesman,≤100
1477945425811579,BBC Sounds,These ads ran without a disclaimer,≤100
1689013614665814,HEINEKEN UK,HEINEKEN UK,≤100
203965676621692,GFS England & Wales,Girls Friendly Society,≤100
469738460027551,EnergiseAfrica,Energise Africa,≤100
190533904321672,musicMagpie,musicMagpie,≤100
1908112089264826,Nuii Ice Cream UK,These ads ran without a disclaimer,≤100
105104834521094,Labour to Win,Labour to Win,≤100
358706239805,Scope,Scope,≤100
2055032824723695,Cyncoed Labour,George Thomas Baldwin,≤100
100378402126532,William Collins Books,These ads ran without a disclaimer,≤100
352254431506201,Shout Out UK,Shout Out UK,≤100
603389616739829,Bite Back 2030,Bite Back 2030,≤100
175067939218623,Mercy Corps - Europe,Mercy Corps Europe,≤100
112482903923756,Covid Testing Network,Covid Testing Network,≤100
113162938042855,Alex Williams 4 Gowerton,Alexander Taliesin Williams,≤100
411335395592489,Endometriosis UK,Endometriosis UK,≤100
175584152579855,Unite the union,Unite the union,≤100
18933990398,Stonewall,Paid for by Stonewall with Facebook ad credits,≤100
286748251958375,Eco House Solutions,Eco House Solutions,≤100
107943735207930,Davey Bernard Barton Conservative Candidate for Aberdare West /Llwydcoed,Davey Bernard Barton,≤100
103979448915739,"Eirias Ward, Old Colwyn",Brian Clifford Madden,≤100
150546392113327,The Koin Club,These ads ran without a disclaimer,≤100
1682367945366856,POWER Film,Daniel George Edelstyn,≤100
1032050693483509,Hope and Aid Direct,Roger Wilson,≤100
238845759618209,Commonplace,Commonplace,≤100
199676720083396,"National Union of Rail, Maritime and Transport Workers (RMT)","National Union of Rail, Maritime & Transport Workers (RMT)",≤100
613832878641719,Forces News,BFBS,≤100
25010947137,ShelterBox,ShelterBox,≤100
191851397669230,VETO – Tierschutz,These ads ran without a disclaimer,≤100
397367290369272,Project Solar UK,Project Solar UK,≤100
100651718058538,The Commitment,The Commitment,≤100
136154403098698,Amazon.co.uk,These ads ran without a disclaimer,≤100
408582579294175,UK government,These ads ran without a disclaimer,≤100
1981313815438939,Severn Wye Energy Agency,Severn Wye Energy Agency,≤100
198119003432,Weleda,Weleda UK,≤100
