Page ID,Page name,Disclaimer,Amount spent (GBP)
198660683485662,Key,These ads ran without a disclaimer,≤100
915994675208796,Councillor Pamela Marshall,Pamela Ann Marshall,≤100
236644579759092,Dunfermline Liberal Democrats,James Stuart Calder,≤100
55984857501,Open Doors UK & Ireland,These ads ran without a disclaimer,≤100
1321650401228916,"Lynn Thomson, Labour & Co-operative Councillor for Kincorth, Nigg and Cove",Lynn Thomson,≤100
503270076404440,JD Williams,These ads ran without a disclaimer,≤100
30664112362,University of East London,University of East London,≤100
158365557945,Unseen & the Modern Slavery Helpline,Unseen UK,≤100
108731184114433,The Wildheart Trust,The Wildheart Trust,≤100
157129107684025,Carluke SNP,Euan Cameron Purchase,≤100
358706239805,Scope,Scope,≤100
185285298185218,Train2Train,Train2Train,≤100
109286698382491,"Cllr Marco Biagi - Colinton, Oxgangs, Fairmilehead",Marco Biagi,≤100
102677939033481,UkraineInNeed.org,These ads ran without a disclaimer,≤100
117661796309061,West Lothian Liberal Democrats,"Sally Pattle, West Lothian Liberal Democrats, 4 Clifton Terrace, Edinburgh, EH12 5DR",≤100
208259529191152,Aid to the Church in Need UK,Aid to the Church in Need UK,≤100
234881964773,Vintage Books,These ads ran without a disclaimer,≤100
163661087001678,IAPF - International Anti Poaching Foundation - www.iapf.org,These ads ran without a disclaimer,≤100
100368052650872,Vote Andy Cameron,Andrew James Cameron,≤100
1868848946716900,Cllr Greg Lennon SNP,Greg Joseph Lennon,≤100
805009019542729,SNP Larkhall,Ross Robert William Clark,≤100
109439348277319,ALBA East Dunbartonshire,Raymond Phillip James,≤100
1177000815657627,Sci Ani,Sci Ani,≤100
150300461707942,National Zakat Foundation,These ads ran without a disclaimer,≤100
8126393663,MS Society UK,MS Society UK,≤100
984203991753488,Research Outreach,Research Outreach,≤100
462400447302313,NOW: Pensions,These ads ran without a disclaimer,≤100
102161684540123,Devon Climate Emergency,Devon County Council,≤100
476831022340101,John Lamont MP,John Lamont,≤100
20795833032,CND,CND,≤100
107582715996851,SPUC (Society for the Protection of Unborn Children),Michael Joseph Robinson,≤100
110057938332516,Linda Battison Independent Oban North and Lorn Ward 5,Linda Jayne Battison,≤100
157317435119920,Milkywire,These ads ran without a disclaimer,≤100
167898406587045,Holiday Extras,Holiday Extras,≤100
