Page ID,Page name,Disclaimer,Amount spent (USD)
34370387440,JDRF,JDRF INTERNATIONAL,2044
128167457221813,Public Transportation,Voices for Public Transit,2024
679171239164792,Supermajority,Supermajority,2024
83290028957,Care Net,CARE NET,2015
1587845658207917,Manufacturers United,National Association of Manufacturers,2002
107043728623566,Bill Wright for Center TWP Trustee,Benny William Wright,2000
112841831309523,Our American Real Estate,Our American - Real Estate,1980
12375354406,USO,United Service Organizations,1955
1632814840319802,John Fetterman,Fetterman for PA,1944
112203921354941,Stu Barnes-Israel,STU FOR INDIANA,1936
111025528152229,Lindsay Patterson For State Representative District 55,Lindsay Patterson For State Representative District 55,1918
406456986070332,Matt Gaetz,Friends of Matt Gaetz,1909
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,1905
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),1901
73528878871,Center for Reproductive Rights,Center for Reproductive Rights,1884
542678889114683,The Coca-Cola Company,The Coca-Cola Company,1874
169597416843751,Stand Up America,Stand Up America,1871
110617737746935,"Casey Samson - Lebanon, IN",Casey Robert Samson,1866
187005858017014,Climate Power,Climate Power,1864
102544558965599,Allison Chopra for Judge,Allison Chopra for Judge,1856
100692068471118,Explain America,Apse Media LLC,1854
300992409852,Hoover Institution,Hoover Institution,1853
345234251112,Judicial Crisis Network,Judicial Crisis Network,1843
706716899745696,Women for Trump,Save America Joint Fundraising Committee,1837
110011224461346,Ashworth for Sheriff,Jason Ashworth For Sheriff,1829
1801928096578092,Radical Alert,Radical Alert,1825
104811701387594,Our Community's Health,TruthNotLies,1810
81124177592,"Planned Parenthood Great Northwest, Hawaiʻi, Alaska, Indiana, Kentucky","Planned Parenthood Great Northwest, Hawaiʻi, Alaska, Indiana, Kentucky",1810
471928596287830,Brian Mast,Mast for Congress,1805
130945114804,World Jewish Congress,WORLD JEWISH CONGRESS AMERICAN SECTION INC,1797
266344180585578,Jim Jordan for Congress,JIM JORDAN FOR CONGRESS,1794
542968069983885,HappeningNow,HappeningNow America,1792
580610428636345,Fight for $15,Fight for $15,1791
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",1789
107432161689744,Care First Homes,Care First Homes,1767
102413723172970,Nick Adams,Nick Adams,1763
100485764982266,Only One,Only One,1735
29717379728,International Justice Mission,International Justice Mission,1731
23875187730,Feeding America,Feeding America,1715
168263186567879,Sargento Cheese,These ads ran without a disclaimer,1688
51379424899,Mercy Ships,MERCY SHIPS INTERNATIONAL,1687
15041226930,Oxfam,"OXFAM AMERICA, INC.",1677
802271849850801,Freedom for All Americans,Freedom for All Americans,1667
7263476274,Mercy Corps,Mercy Corps,1663
24470472733,The Trevor Project,The Trevor Project,1662
390737588131691,Spy & Survival Briefing,Spy & Survival Briefing,1651
54172246106,Rand Paul,RAND PAUL FOR US SENATE,1651
108521528285241,Hoosiers for Haggard,Hoosiers for Haggard,1650
326806805384499,Justice For Veterans,TotalKlean,1634
102592959026,Ocean Conservancy,"OCEAN CONSERVANCY, INC.",1614
110078354864569,DEB for Indiana,DEB FOR INDIANA,1612
1716159188693257,Kyle Dukes for Sheriff,The Committee to Re-Elect Kyle Dukes for Sheriff,1609
91346559231,Democratic Legislative Campaign Committee - DLCC,Democratic Legislative Campaign Committee,1606
1958912674200535,The Pour Over,Pour Over,1595
152171632194678,Steve Schwartz Hamilton County Council District 3,ELECT STEVE SCHWARTZ FOR COUNTY COUNCIL,1591
195530355493,Chicks On The Right,The Association of Mature American Citizens Inc,1572
200650357207240,I Love My Freedom,I Love My Freedom,1568
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",1558
83290171215,"Porter County, Indiana Democratic Party",Porter County Democratic Central Committee,1556
67626834312,National Women's Law Center,National Women's Law Center,1553
112298894689066,Elect Bob Carmony,The Committee to Elect Bob Carmony,1551
141516479236309,Ron Meer for State Senate 4th District,CITIZENS TO ELECT MEER,1535
100917749189064,Neihouser for Indiana,Neihouser for Indiana,1534
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,1531
101081815193859,Brouilletts Solar,Apex Clean Energy,1530
159616034235,Walmart,WALMART INC.,1529
83996318078,Change.org,"Change.org, PBC",1523
702287487304093,RateMarketplace Health,"Plateau Data Services, LLC dba RateMarketplace",1523
313018228713458,Developers Alliance,Application Developers Alliance,1519
160389977329803,ATTN:,ATTN: INC.,1516
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,1516
239681262790336,Peggy Mayfield State Representative District 60,The Mayfield Campaign,1500
269817274658,State Representative Ed Clere,Ed Clere for State Representative,1500
115364585711,Lawyers' Committee for Civil Rights Under Law,LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW,1494
42324160403,BET,VIACOM INC.,1481
108494110755286,Nathan Frampton for State GOP Delegate,Frampton for Delegate,1480
516456078534429,Jeff Ellington for State Representative,Jeffrey Roger Ellington,1479
189097124503473,Goldco,GoldCo,1459
5944538380,Indeed,These ads ran without a disclaimer,1452
1029414573827063,Fight Back,Fight Back Fund,1442
104681282050577,Brittany Carroll for Indiana,Friends of Brittany Carroll,1435
375742685850856,Firearms Policy Coalition,"FIREARMS POLICY COALITION, INC.",1413
316768628476080,Cityzenith,CITYZENITH LLC,1407
108268161352786,Stanley M. Herzog Foundation,Herzog Foundation,1399
102279051960,General Motors,General Motors,1389
114720264544782,Moving Forward,Seniors Today USA,1387
186805048171120,U.S. LawShield,U.S. LawShield,1386
1575347412785991,cheddar news,Cheddar News,1386
354355862297891,Troy Hershberger for Sheriff,Hershberger for Sheriff\t,1375
112937464515726,Share the Savings Indiana,Diabetes Patient Advocacy Coalition,1372
176106372417169,Indiana Health Care Association,IHCA,1370
107391351117812,National Women's Law Center Action Fund,National Women's Law Center Action Fund,1357
100857248975492,Friends For Suzie,Friends for Suzie,1356
89742860745,NBC,These ads ran without a disclaimer,1355
107168898379486,Speed & Scale,Speed & Scale,1350
201248453800242,My Pay My Say,Mackinac Center for Public Policy,1344
210820618956311,Community Change Action,Community Change Action,1343
111832654686233,David Hewitt for State Representative,David Hewitt for State Representative,1335
673117639774135,Gretchen Whitmer,Gretchen Whitmer for Governor,1334
11602044174,Independent Women's Forum,Independent Women's Forum,1312
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,1311
817567028361575,The Halcyon Movement,The halcyon movement,1309
110901241505143,John Darge,John Andrew Darge,1306
114625730266879,The Republican Accountability Project,Defending Democracy Together,1304
1949064322040283,Principles,"Principles, LLC",1292
102412825576962,Welcome Donald Trump,Red Wave Store,1273
23790541544,Democrats,DCCC,1271
106568024842114,Rideshare Assault Support,Injury Match,1268
61492859575,Americares,"Americares Foundation, Inc.",1267
115379705206001,U.S. Department of Homeland Security Blue Campaign,U.S Department of Homeland Security Blue Campaign,1260
14226615647,People For the American Way,People For the American Way,1258
121626482110,Operation Smile,OPERATION SMILE,1252
53541257714,The Arc of the United States,"ARC OF THE UNITED STATES, INC., THE",1248
104295601633638,American Cornerstone Institute,American Cornerstone Institute Inc,1245
322557811101765,Provide,"PROVIDE, INC.",1239
110491051453804,Isak Nti Asare,ISAK NTI ASARE FOR CONGRESS,1239
102257579036976,Tony for Lake County Council District 4,Committee to Elect Anthony Ferraro,1238
101481584557260,Help Asheville Bears-HAB,Heather Christina Williams,1235
311138342705556,Jerrod Baugh for Sheriff,Baugh For Sheriff,1230
1933780100280544,Melissa Rinehart for Indiana,Friends of Melissa Rinehart,1222
8325302025,Friends of the Earth U.S.,Friends of the Earth,1219
123488374379680,Ken Paxton,Ken Paxton Campaign,1217
108620667163768,For Our Future,Resource Media,1217
7860876103,Joe Biden,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,1214
100684991996307,November Coalition,NOVEMBER COALITION,1207
100146652437834,Life is For Thriving,Life is For Thriving,1195
6580173137,Alan Grayson,COMMITTEE TO ELECT ALAN GRAYSON,1191
349068689306,Tim Scott,Tim Scott for Senate,1189
105444348503183,Dr. Johnson for State Senate,Vote Dr Johnson,1187
149576021182,Indiana Right to Life,Indiana Right to Life,1171
172298889630363,Republican Attorneys General Association,REPUBLICAN ATTORNEYS GENERAL ASSOCIATION,1171
103890201865069,Joe Lombardo for Governor,Lombardo for Governor,1161
533755033788310,Hoosiers for Reliable Energy,Hooisers For Fair Energy & Fair Policy People,1158
111706908008520,Homeowner Savings,These ads ran without a disclaimer,1158
219242560293,Meals on Wheels America,Meals on Wheels,1145
57495285387,Michael Bennet,Bennet for Colorado,1141
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,1135
102428625021383,Hoosiers for Affordable Healthcare,Hoosiers for Affordable Healthcare,1130
203197030603239,8 Billion Trees,8 Billion Trees LLC,1127
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,1126
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,1094
134452023239984,Human Coalition,Human Coalition,1084
228132537208218,Tammy Duckworth,TAMMY FOR ILLINOIS,1083
138749366797725,Mark F Hall for Hamilton County Council - To Serve Neighbors,Friends of Mark Hall,1082
318196171580489,Ron DeSantis,Friends of Ron DeSantis,1073
