Page ID,Page name,Disclaimer,Amount spent (USD)
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,614
108854430811842,Stop Pebble Mine,Stop Pebble Mine,603
928091877203916,Independent Women's Network,Independent Women's Network,597
14486524447,The Choral Arts Society of Washington,"CHORAL ARTS SOCIETY OF WASHINGTON, THE",587
367292494407,AJC - American Jewish Committee,AMERICAN JEWISH COMMITTEE,584
252814820267,HIAS,HIAS,577
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",573
441242156439675,Jessica Cisneros,Jessica Cisneros for Congress,567
203805062990264,Ben Shapiro,The Daily Wire,558
103978002684,American Land Title Association,American Land Title Association,554
104933662932387,CreativeFuture,CreativeFuture,553
153678684700451,American Investment Council,AMERICAN INVESTMENT COUNCIL,534
109355568310305,Support Hometown Attractions,Support Hometown Attractions,523
1546952572205770,UAE USA United,The Embassy of the United Arab Emirates,517
29717379728,International Justice Mission,International Justice Mission,516
134549270080908,Consumers' Research,Consumers Research,514
19972147679,SEIU,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),494
1629844773973592,Gary Chambers Jr.,CHAMBERS FOR LOUISIANA,483
111361091313,NICABM,"Theoria Associates for Health Education, Inc.",479
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,474
945455208962159,For Everyone Collective,For Everyone Collective,471
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,471
101403318741171,ZETA - Zero Emission Transportation Association,Zero Emission Transportation Association Education Fund,467
103171994635775,Angela Alsobrooks,Friends of Angela Alsobrooks,462
19219803864,Tax Foundation,Tax Foundation,457
9062006483,REI,"RECREATIONAL EQUIPMENT, INC.",454
169124877249,AARP Virginia,AARP,449
7263476274,Mercy Corps,Mercy Corps,448
50786013821,George Washington's Mount Vernon,"MOUNT VERNON LADIES' ASSOCIATION OF THE UNION, THE",447
102869861979333,Gordon For Ward 5,Gordon For Ward 5,439
49781270734,SCAN of Northern Virginia,"SCAN OF NORTHERN VIRGINIA, INC.",429
376776419037747,Turning Point USA,"Turning Point USA, Inc.",423
274625931061988,Faith Gibson Hubbard for Ward 5 DC Council,Faith for Ward 5 DC 2022,423
327853590558653,"Agri-Pulse Communications, Inc.","AGRI-PULSE COMMUNICATIONS, INC.",411
28144169620,Alliance for Aging Research,Alliance for Aging Research,410
137828333383238,Ampion,AMPION INC.,409
303374266418976,AFPM,American Fuel & Petrochemical Manufacturers,393
1669941646417657,Senior Choice Financial,Andrea Marroquin,391
110411398584,NRECA,National Rural Electric Cooperative Association,388
51379424899,Mercy Ships,MERCY SHIPS INTERNATIONAL,381
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",380
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",373
376638603087168,Save The Earth,8 Billion Trees LLC,372
14226615647,People For the American Way,People For the American Way,370
2602473023098666,Democratic Polling Center,Democratic Governors Association,370
298883911254,Degree,Unilever,359
210820618956311,Community Change Action,Community Change Action,353
183792172090826,Northern Virginia Clean Water Partners,Northern Virginia Regional Commission,353
252258422166962,Veteran Benefits Guide,These ads ran without a disclaimer,352
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,350
105082297816983,Center for Truth in Science,Center for Truth in Science,347
107168898379486,Speed & Scale,Speed & Scale,345
57495285387,Michael Bennet,Bennet for Colorado,342
89742860745,NBC,These ads ran without a disclaimer,340
42324160403,BET,VIACOM INC.,335
546066468753446,Black Health Matters,BLACK HEALTH MATTERS FOUNDATION INC,333
24470472733,The Trevor Project,The Trevor Project,332
17203056985,Partners In Health,Partners In Health,332
61492859575,Americares,"Americares Foundation, Inc.",327
8914040942,Chesapeake Bay Foundation,"CHESAPEAKE BAY FOUNDATION, INC., THE",327
101704558574021,Lucas Kunce,Lucas Kunce for Missouri,326
786167111464006,Woodson Center,The Woodson Center,324
546643589052271,Sarah Godlewski,Sarah for Wisconsin,323
205671813294,Mountain View Solar,"MOUNTAIN VIEW SOLAR AND WIND, LLC",322
