Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
262677440504362,Deputado Gurgel,Joao Carlos Soares Gurgel,12714,113
112027708065684,Marcelo Cestari,MARCELO MARTINS CESTARI,12632,105
769891416403599,Câmara Municipal - Varginha,Câmara Municipal de Varginha,12607,67
123884341029248,João Jorge,Joao Jorge De Souza,12596,31
396536703730394,Paulo Correa Jr,Paulo Alves Correa Junior,12579,198
111604241466771,BrasilPatriota.shop,Brasil Patriota,12546,16
214730151901124,Gustavo Fruet,Gustavo Fruet,12498,113
115891421768399,Circo dos Sonhos,These ads ran without a disclaimer,12495,4
185875761943,MDB Nacional,MOVIMENTO DEMOCRÁTICO BRASILEIRO,12384,157
977037192451914,Professor Cleiton,Cleiton de Oliveira,12377,117
295831333862162,Beto Preto,Beto Preto,12341,430
235310816484046,Prefeitura de Araras,Prefeitura de Araras,12334,73
409926439192172,Fabio Silva,Fabio Silva,12308,25
1437843656540112,Lucas Sanches,Lucas Sanches Promessia,12206,36
102629535298705,Peterson Ruan,Peterson Ruan Aiello do Couto Ramos,12134,850
103609098277202,Pra Ser Justo,Endeavor Brasil,12000,63
632311490253116,Carlos Lula,Carlos Lula,11998,31
173776816159515,Julio Lopes,Julio Lopes,11794,32
289311498094325,Vereador Kaká,Alvaro Costa Vieira,11736,89
2135328726606382,Kelps Lima,Kelps Lima,11488,74
118678938210868,SIMPI,Simpi,11470,35
115811301935382,Analice Fernandes,Analice Fernandes,11413,110
238321123577351,Deputado Josivaldo JP,Josivaldo Melo,11250,24
353395868104190,Raquel Lyra,Raquel Teixeira Lyra Lucena,11197,68
110059913724200,Ricardo Molina,Ricardo Molina Dias,11161,80
143668009023877,Itaú Social,Fundação Itaú Social,11136,19
1414301995348590,Delegado Pablo,Pablo Oliva Souza,10919,29
106590965162910,Otoni de Paula,Otoni Moura De Paulo Junior,10894,49
100429111698632,Vou de Túnel,In Press Oficina,10874,76
1768551980066501,Ulysses Moraes,Ulysses Moraes,10821,148
844549288949778,IBPAD - Instituto Brasileiro de Pesquisa e Análise de Dados,IBPAD - INSTITUTO BRASILEIRO DE PESQUISA E ANALISE DE DADOS LTDA - ME,10814,154
214687541970095,Ed Pereira,EDMILSON CARLOS PEREIRA JUNIOR,10774,233
206365432837539,Deputado Federal Dimas Fabiano,Dimas Fabiano Toledo Junior,10736,87
144619715634355,Iracema Portella,Iracema Maria Portella Nunes Nogueira Lima,10656,210
