Page ID,Page name,Disclaimer,Amount spent (USD)
104673965019490,Growing Almonds,ALMOND BOARD OF CALIFORNIA,397
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,393
34370387440,JDRF,JDRF INTERNATIONAL,393
188793854511557,The Plainedge Federation of Teachers,Plainedge Federation of Teachers,389
89336510798,American Friends of the Hebrew University,American Friends of Hebrew University,387
134452023239984,Human Coalition,Human Coalition,386
5435784683,Greenpeace USA,"GREENPEACE, INC.",385
108840621533552,Matt Castelli,CASTELLI FOR CONGRESS,380
103109769744043,Supervisor Brian Maher,Friends of Brian Maher,379
163162542495943,David Alexis For Brooklyn,David for State Senate,379
111893659171316,Choose Love,Choose Love Inc.,379
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",371
140499052681592,Bank of the West,BANK OF THE WEST,368
112642477582238,Mericanaf,AAF Nation,366
7860876103,Joe Biden,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,364
114710126648118,Republican Dogs,Republican Dogs,360
58736997707,Marco Rubio,Marco Rubio for Senate,360
38235851310,USA for UNHCR,United States Association for UNHCR with Facebook ad credits,360
106572950040377,Max Rose,Max Rose for Congress,358
109396544993347,Save America,Future Tech Product,357
112425441094454,The Art of the Tweet,The Art of the Tweet LLC,351
1361240077226182,Seth Weathers,Michael Seth Weathers,351
344930932219792,Yaffed,YAFFED INC,350
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",346
34362997676,United States Holocaust Memorial Museum,UNITED STATES HOLOCAUST MEMORIAL MUSEUM,346
108534121652566,Internet For Growth,"Interactive Advertising Bureau, Inc.",345
100201212631976,Friends For Shah Nawaz,FRIENDS FOR SHAH NAWAZ,342
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,339
102592959026,Ocean Conservancy,"OCEAN CONSERVANCY, INC.",338
83290028957,Care Net,CARE NET,336
139766499461199,Tom Rice for Congress,TOM RICE FOR CONGRESS,335
321277975312486,The CUNY School of Labor and Urban Studies,City University of New York,335
101716172441500,Brennan Center en Español,"WILLIAM J. BRENNAN CENTER FOR JUSTICE, INC.",331
200650357207240,I Love My Freedom,I Love My Freedom,326
850100261845290,Outer,OUTER INC,325
253507715172780,Andy Levin,ANDY LEVIN FOR CONGRESS,324
23875187730,Feeding America,Feeding America,323
1883837055193241,Shield Republic,Shield Republic,317
104295601633638,American Cornerstone Institute,American Cornerstone Institute Inc,316
253486208004047,David Weprin,Friends of David Weprin,310
103631435608189,"Duffy for NYS Assembly, 116th District",Duffy For Assembly,310
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,309
160389977329803,ATTN:,ATTN: INC.,308
253312980194,Community Catalyst,COMMUNITY CATALYST INC,306
22067606728,Allen West,The Association of Mature American Citizens Inc,303
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),302
145973965440671,Carnegie Corporation of New York,CARNEGIE CORPORATION OF NEW YORK,300
6502038524,First Book,FIRST BOOK,298
268409153295131,AARP AAPI Community,AARP,297
248181906078243,National Institute for Civil Discourse,CommonSense American,296
130848666099,Business Forward,Business Forward Inc.,295
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,294
549583848872535,Pennsylvania House Republican Campaign Committee,Pennsylvania House Republican Campaign Committee,294
17382403969,"The Lesbian, Gay, Bisexual & Transgender Community Center","LESBIAN & GAY COMMUNITY SERVICES CENTER, INC.",293
209516845093,NRDC Action Fund,NRDC Action Fund,293
42940254353,Human Rights Watch,"HUMAN RIGHTS WATCH, INC.",289
100113541464939,Start Early,Start Early,289
102413723172970,Nick Adams,Nick Adams,287
109320440856128,Together Beat Hate,"Foundation to Combat Anti-Semitism, Inc.",286
128067600545091,Coalition for a Prosperous America,"COALITION FOR A PROSPEROUS AMERICA EDUCATION FUND, INC.",281
102045989073431,Hassan Ahmed for Brentwood School Board,Hassan A. Ahmed,279
2341701139443660,Liz Joy for New York,JOY FOR NY,278
406456986070332,Matt Gaetz,Friends of Matt Gaetz,278
154042277970966,International Refugee Assistance Project,"INTERNATIONAL REFUGEE ASSISTANCE PROJECT, INC.",278
1587845658207917,Manufacturers United,National Association of Manufacturers,276
23790541544,Democrats,DCCC,275
100122859296204,God - Family - Country,Red Wave Store,273
613495702103470,Periodic Fables,"CENTER FOR CONSUMER FREEDOM, THE",272
1949064322040283,Principles,"Principles, LLC",271
224110651893,International African American Museum,IAAM,268
102476605134418,Rep. Andrew Garbarino,Office of Congressman Andrew Garbarino,266
115613890351673,Screaming Freedom Apparel,Screaming Freedom Apparel,262
104059752271952,Viridian Partners,Viridian Partners,262
201446296572389,Compassion in World Farming (USA),Compassion in World Farming Inc,261
114625730266879,The Republican Accountability Project,Defending Democracy Together,261
10803722213,Common Cause,COMMON CAUSE,261
471928596287830,Brian Mast,Mast for Congress,260
358113240871900,Nuclear Energy Institute,"NUCLEAR ENERGY INSTITUTE, INC.",259
102747197873009,Dayenu: A Jewish Call to Climate Action,Social Good Fund,259
256043277748645,NetChoice,NETCHOICE,259
89660729827,National Wildlife Federation Action Fund,NATIONAL WILDLIFE FEDERATION ACTION FUND,258
29717379728,International Justice Mission,International Justice Mission,257
1682876188698809,United for Respect,United for Respect,257
104933662932387,CreativeFuture,CreativeFuture,255
549132971768363,New York City District Council of Carpenters,New York City and Vicinity District Council of Carpenters,254
681626158940626,Mission Roll Call,Americas Warrior Partnership,253
376638603087168,Save The Earth,8 Billion Trees LLC,252
300992409852,Hoover Institution,Hoover Institution,252
63998254096,Planned Parenthood Empire State Acts,PLANNED PARENTHOOD EMPIRE STAT,251
349068689306,Tim Scott,Tim Scott for Senate,247
605168822998856,314 Action,314 ACTION FUND,246
6696842658,Avodah,AVODAH THE JEWISH SERVICE CORPS,245
