Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
504161563089343,BlackPAC,Black PAC,26641,12
102135909142078,Patrick Witt for Insurance Commissioner,Patrick Witt for Georgia,26607,17
92021268117,Working America,Working America,26562,81
106629127527429,Kathy Barnette for Senate,Friends for Kathy Barnette,26497,257
114197411271539,Brighter Chula Vista,"Residents for a Brighter Chula Vista, Supporting Amar Campa-Najar for Mayor 2022",26338,5
349068689306,Tim Scott,Tim Scott for Senate,26327,54
104774032906863,Kim Reynolds,Kim Reynolds for Iowa Committee,26302,71
1890399264574296,Senator Jen Jordan,FRIENDS OF JEN JORDAN INC,26292,27
103111815086037,Bo Hines,BO HINES FOR CONGRESS,26256,390
108911174705065,Karrin Taylor Robson,Karrin for Arizona,26250,101
100165315231945,Save the Beer Economy,Anheuser-Busch,26244,8
100765221381239,Dawn Addis for the Central Coast,Dawn Addis for Assembly 2022,26153,14
181888625087,Greg Abbott,Texans for Greg Abbott,26150,64
99033391274,Brian Kemp,Kemp for Governor Inc,26117,63
108380923919757,Health Insurance Hero,Health Insurance Hero,26095,150
1957446251204909,Nikema Williams,"NIKEMA FOR CONGRESS, INC",26013,39
345649856136263,Matt Mahan for Mayor,Neighbors for Matt Mahan for Mayor 2022,26002,44
126498287375611,Michigan League of Conservation Voters,Michigan League of Conservation Voters,25824,224
130945114804,World Jewish Congress,ATTN: INC.,25785,6
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,25645,21
515160855534095,Judge Debra Jones,Judge Debra Jones Campaign,25611,11
27670195475,Alliance for a Better Minnesota,Alliance for a Better Minnesota Education Fund,25580,11
100834729286261,"Forward Together, UCC","Forward Together, UCC",25423,18
