Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
228132537208218,Tammy Duckworth,TAMMY FOR ILLINOIS,81941,61
104423598377269,HR 1522: Puerto Rico Statehood Act,Self-Determination Incorporated (SI) Inc.,81914,8
73528878871,Center for Reproductive Rights,Center for Reproductive Rights,81604,114
103551512290168,Better Homeowner,Better Homeowner,81543,41
102613481937797,Jim Pillen,Jim Pillen for Governor,81212,64
8325302025,Friends of the Earth U.S.,Friends of the Earth,80878,139
542968069983885,HappeningNow,HappeningNow America,80799,7
203998970095991,David Blair,David Blair for Montgomery,80745,69
83290028957,Care Net,CARE NET,80464,350
101069505589,American Association of Pro Life OB/GYNS,AAPLOG,80437,8
261792742524,1199SEIU United Healthcare Workers East,1199SEIU United Healthcare Workers East,80402,44
104530258866956,Stop the Corporate Online Gambling Prop,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes. Committee major funding from: Yocha Dehe Wintun Nation, Agua Caliente Band of Cahuilla Indians, Barona Band of Mission Indians. Funding Details at www.fppc.ca.gov",80226,79
55549065733,Voto Latino,VOTO LATINO INC.,80179,732
36474716066,Color Of Change,ColorofChange.org,80104,32
115013608538775,Vote Yes: Protect California Kids,Committee to Protect California Kids sponsored by Nonprofit Health Organizations,79947,52
276454839049598,CCSA Advocates,CCSA Advocates,79826,134
1318439511565011,Financial Study Network,Financial Study Network,79619,303
101704558574021,Lucas Kunce,Lucas Kunce for Missouri,79067,1353
54172246106,Rand Paul,RAND PAUL FOR US SENATE,78540,322
104811701387594,Our Community's Health,TruthNotLies,78250,68
134535726580904,Maggie Hassan,Maggie for NH,78096,420
103625265619720,Pennsylvania Works,Pennsylvania Works LLC,77257,3
104973821688428,American Accountability Foundation,American Accountability Foundation,77179,34
17432811417,Working Families Party,Working Families Party National Political Action Committee,77062,108
122727280004511,American Freedom Tour,American Freedom Tour LLC,76905,19
124558988400,Andrew Cuomo,Andrew Cuomo for New York,76795,60
34370387440,JDRF,JDRF INTERNATIONAL,76576,217
60658764552,Workforce Fairness Institute,Workforce Fairness Institute,76375,134
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",76340,75
106166677785090,Pelican Action,Pelican Action,76016,208
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,75913,51
330503870688520,Darren Bailey for Governor,Bailey for Illinois,75602,62
83996318078,Change.org,"Change.org, PBC",75311,77
104774032906863,Kim Reynolds,Kim Reynolds for Iowa Committee,75054,191
102926725680984,Plan My Ballot,Priorities USA,74813,127
104447088162443,Choose Healthy Life,Choose Healthy Life,74261,211
108887515128830,Communities United for Bass for L.A. Mayor 2022,Communities United for Bass for LA Mayor 2022,74157,42
107498775216001,Nevada Unido,MAJORITY FORWARD,74133,24
1801928096578092,Radical Alert,Radical Alert,73590,7
103175021296846,Save Our Planet,Sahak Nalbandyan,73399,7
112385341374649,Election Infrastructure Initiative,Election Infrastructure Initiative,73110,15
100420388639135,Happy Home Lab,Happy Home Lab,72805,145
548407915183371,Liz Cheney,Liz Cheney for Wyoming,72715,41
102279051960,General Motors,General Motors,72545,15
105355871121994,Indiana Unclaimed Property Division,"Office of the Indiana Attorney General, Unclaimed Property Division",72332,99
406456986070332,Matt Gaetz,Friends of Matt Gaetz,72255,25
1483977658578577,Jasmine Beach-Ferrara,JASMINE BEACH-FERRARA FOR CONGRESS,72035,307
297623125000962,Wisconsin Jobs & Energy Coalition,Wisconsin Jobs and Energy,71924,14
67626834312,National Women's Law Center,National Women's Law Center,71868,201
15041226930,Oxfam,"OXFAM AMERICA, INC.",71179,211
102782772088009,Matt Dolan,Dolan for Ohio,71015,33
104235371680366,Alex Lasry,LASRY FOR WISCONSIN,70993,116
92021268117,Working America,Working America,70906,240
14226615647,People For the American Way,People For the American Way,70806,29
1428755447227803,Defend The Second,Next Level Goods,70669,360
104686911982045,Solar and Patio Pros,Energy Genesis Inc.,70287,67
109418838263843,Lew Burdette for Governor,LEWin22 For Governor,70248,114
297987334762,Jamie Raskin,Jamie Raskin for Congress,70147,20
390737588131691,Spy & Survival Briefing,Spy & Survival Briefing,69771,61
51763052234,Mike DeWine,DeWine Husted for Ohio,69404,90
126498287375611,Michigan League of Conservation Voters,Michigan League of Conservation Voters,69365,582
115379705206001,U.S. Department of Homeland Security Blue Campaign,U.S Department of Homeland Security Blue Campaign,69137,79
104113087669604,Opportunity Arizona,Opportunity Arizona,68998,78
106168648211897,Charles W. Herbster,Herbster for Nebraska,68696,157
151119378313327,Tony Evers,Tony for Wisconsin,68372,281
102757624532911,NYC Mayor's Public Engagement Unit,NYC Mayor’s Public Engagement Unit,68361,287
173517072696584,George P. Bush,George P Bush Campaign,68174,12
104108325575401,Ron Hood & Candice Keller for Governor,HOOD KELLER FOR OHIO,67900,74
23790541544,Democrats,DCCC,67894,434
100349548215230,Connecticut's Health Care Future,"Partnership for America’s Health Care Future Action, Inc.",67744,11
107391351117812,National Women's Law Center Action Fund,National Women's Law Center Action Fund,67627,76
168263186567879,Sargento Cheese,These ads ran without a disclaimer,67598,1
160389977329803,ATTN:,ATTN: INC.,66816,55
451835328274640,Brian Fitzpatrick,Brian Fitzpatrick For All Of Us,66738,186
107535171931690,Tim Michels,"Michels for Governor, Inc",66303,227
314499212242,Pfizer,Pfizer Inc.,66283,69
1509209726034350,Iowa Starting Line,"Courier Newsroom, Inc.",66238,82
112463982125496,Maryland State Education Association,MARYLAND STATE EDUCATION ASSOCIATION,66177,156
53178635562,Third Way,THIRD WAY,66000,16
7191206138,ASPCA,ASPCA,65982,216
90022052772,Williams,"WILLIAMS COMPANIES, INC., THE",65926,633
7192716362,Amnesty International USA,Amnesty International USA,65716,104
318196171580489,Ron DeSantis,Friends of Ron DeSantis,65711,756
143329509024,Citizens Against Lawsuit Abuse,Citizens Against Lawsuit Abuse,65673,69
1280400305319674,Tennesseans for Quality Early Education,Tennesseans for Quality Early Education,65422,75
221558437938893,Dennis Smith for Attorney General,Dennis Smith For Attorney General,65291,35
305380096638473,Charles Booker,Booker for Kentucky,65266,810
471928596287830,Brian Mast,Mast for Congress,65023,32
134323820585259,Black Voters Matter,Black Voters Matter Fund Inc,65000,6
372922692828,SEIU-United Healthcare Workers West,SEIU United Healthcare Workers West Local 2005,64523,366
100165315231945,Save the Beer Economy,Anheuser-Busch,64372,40
177551525610164,Jaime Herrera Beutler,Rep. Jaime Herrera Beutler,64222,30
226725488089980,Gary Rabine,Rabine for Governor,64183,200
106687405264034,SEIU Community Clinic Workers United,SEIU Community Clinic Workers United,63733,73
124383441363,Connecticut Education Association (CEA),CONNECTICUT EDUCATION ASSOCIATION,63664,133
1446823768756602,Michael Guest,FRIENDS OF MICHAEL GUEST,63310,14
159658557547960,WSJ Opinion,The Wall Street Journal,63192,112
100741402225790,Quaye Quartey for Congress,QUARTEY FOR CONGRESS,63106,60
1387400564843120,Americans for Prosperity - South Dakota,AMERICANS FOR PROSPERITY,62892,42
174754989846475,NewDem Action Fund,New Democrat Coalition Action Fund,62892,15
269317522200,Adrian Garcia,Adrian Garcia for Harris County Commissioner Precinct 2,62323,24
5944538380,Indeed,These ads ran without a disclaimer,62130,3
1575347412785991,cheddar news,Cheddar News,62087,121
189097124503473,Goldco,GoldCo,62001,180
5435784683,Greenpeace USA,"GREENPEACE, INC.",61931,926
100692068471118,Explain America,Apse Media LLC,61764,107
106557738450944,US Guides. & Resources,Future Tech Product,61525,129
