Page ID,Page name,Disclaimer,Amount spent (BRL)
1512143152351661,Rômulo Mattos,Romulo Mattos,≤100
400087500051810,Benoliel & Darmont Advogados,These ads ran without a disclaimer,≤100
290210084891527,Thiago Carreiro,Thiago Carreiro,≤100
496873113705513,Junior Borges,Ednaldo Gomes Júnior Borges,≤100
111949165566730,Romário Faria,Romário Faria,≤100
183852188884605,Fábio Moura,Fabio Moura Da Silva,≤100
515153838674104,Abilio Vaneli,Abilio Vaneli,≤100
539997626054292,Alcântaro Filho,Alcantaro Victor Campos,≤100
955220714489274,Elton Weber,Elton Weber,≤100
102810459063576,Dra Ligia Funaki,Ligia Funaki,≤100
111006700550820,Cenarium,CENARIUM AGENCIA DE NOTICIAS EIRELI,≤100
430118500667623,Jesus Pontes,Ruziely De Jesus Pontes Da Silva,≤100
187950538240609,Rodrigo Laeber,Rodrigo Moreira Laeber,≤100
1427149454035468,Sandra Santana,Sandra Santana,≤100
573571269338520,Deputado Issur Koch,Issur Israel Koch,≤100
1458693167710748,Cristiano Cavalcante,Cristiano Cavalcante,≤100
1643164385734510,Leonardo Freitas,Paulo Reis,≤100
330379553673497,Oxfam Brasil,Jorge Henrique Cordeiro,≤100
1583534638453939,Clair Kuhn,Clair Kuhn,≤100
100600152567890,Antônio Carlos de Brito,Antonio Carlos,≤100
140347022821700,Silvio Costa Filho,Silvio Costa Filho,≤100
785800111452664,Anderson Nóbrega,Anderson Nobrega,≤100
107828718525003,Gooffy box,These ads ran without a disclaimer,≤100
100784278297723,Marcos Roberto,Marcos Roberto Dos Santos,≤100
340423606060535,Portal Bonfinópolis,Portal Bonfinópolis,≤100
887564787979668,Cofecon Economia,These ads ran without a disclaimer,≤100
476118636499213,Rai do Paraíso - Rai Stein,Raysa Ramos,≤100
1111998185487401,TERÊ NOTÍCIAS,Bruno Rezende,≤100
111579663830408,Jairo Cardoso,Jairo Cardoso,≤100
2268118040088348,Neri Geller,Neri Geller,≤100
299601453506451,Felipe Francischini,Luis Francischini,≤100
109524334132885,estude.blue,These ads ran without a disclaimer,≤100
285083994905681,MDB Mulher Nacional,MOVIMENTO DEMOCRATICO BRASILEIRO BRASIL BR NACIONAL,≤100
432022880340155,Tárcio Teixeira,Tarcio Teixeira,≤100
239084452772926,IDS,IDS - Instituto Democracia e Sustentabilidade,≤100
1804515459815319,José Maria Tapajós,Jose Tapajos,≤100
227443687329589,Marcos Papa,Gabinete do Vereador Marcos Papa - Câmara Municipal de Ribeirão Preto,≤100
101130855300816,Pablo Designer,These ads ran without a disclaimer,≤100
172154116311925,Sindserv Santos,Sindserv Santos - Sindicato dos Servidores Públicos Municipais de Santos,≤100
100162738241949,Xu Zeyu,These ads ran without a disclaimer,≤100
1394061267354808,Marcelo Cruz,Rosinaldo Pires,≤100
480633332051098,Sávio Souza Cruz,Sávio Souza Cruz,≤100
1809571639057207,Apoiadores NOVO SP ZONA SUL,Paulo Rogerio Denoni,≤100
653716951478918,João Roma,João Roma Neto,≤100
836815029677385,Cláudio Miranda,CLÁUDIO ERNANI MARCONDES DE MIRANDA,≤100
393449184007959,Rafael Martins,Rafael Martins,≤100
848135638867674,Duarte Mendes Advogados,These ads ran without a disclaimer,≤100
103184364929505,Warley Siqueira,Warley Siqueira Pinto,≤100
104315245480562,Thiago Sanderson,Edson De Araujo Firmino,≤100
110749511570188,Pedro Longo Juruá,Marcio Lima,≤100
112347331474024,Clara Alves,Maria Do Socorro Dos Santos,≤100
104685145551097,Marcela Front End,Marinelia Souza,≤100
390714917933200,Elton Cristo,ELTON CRISTO,≤100
1054109637969183,Manuel da Lupa Filho,These ads ran without a disclaimer,≤100
1530417913859995,Vereadora Ana Paula,Ana Paula Da Silva Marciano,≤100
0,Instagram User 5604017696,These ads ran without a disclaimer,≤100
265124996987625,Gilberto Abramo,SYSCOIN TECNOLOGIA E SERVICOS LTDA,≤100
110049840871466,Odonto Rosário - Jaraguá,These ads ran without a disclaimer,≤100
540774879289725,Daniel Carvalho,Daniel Flávio de Moura Carvalho,≤100
101210285822918,Donna Amora,These ads ran without a disclaimer,≤100
1275756415787246,Mauro Angelo,Mauro Angelo,≤100
104334275452647,Becker & Ribeiro Advocacia,These ads ran without a disclaimer,≤100
105267774588359,GGAC,These ads ran without a disclaimer,≤100
1717174081888088,Tobias Gasparini,Tobias Gasparini,≤100
144649435898600,Bruno Cunha,Carlos Eduardo Leite,≤100
1561614984133603,Fábio Villa Nova,Fabio Nova,≤100
395385091210252,Dra. Thaiza Hortegal,Thaiza De Aguiar Hortegal,≤100
529821053761365,Evair Vieira de Melo,Evair Vieira de Melo,≤100
100273806001620,Thalia Brasil,These ads ran without a disclaimer,≤100
114799120422202,Luiz Cesar Maretto,These ads ran without a disclaimer,≤100
103754271395810,ThiagoSilva,These ads ran without a disclaimer,≤100
100478458356433,Alexandre Melo Franco Bahia,Alexandre Bahia,≤100
552636458116557,Paulo Abi-Ackel,Paulo Ackel,≤100
220898724599599,Ação da Cidadania,Ação da Cidadania,≤100
325582414755472,Lucas Mundim.,Lucas Moreira Mundim Araujo,≤100
137997606597306,Delegada Sheila,Sheila Aparecida Pedrosa de Mello Oliveira,≤100
116057072308384,Deputado Gustavo Neiva,Gustavo Neiva,≤100
123110164425108,Marcelo Ramos,Marcelo Ramos,≤100
109597815616,VEJA,Veja,≤100
1652792001602007,MARCIO MALT,Marcio Souza,≤100
105049827982966,Pós Graduação Suprema,Suprema Sociedade Universitária para o Ensino Médico Assistencial LTDA,≤100
250960541687036,Antônio Gomide,Antonio Gomide,≤100
2241692572722771,Vereador Dr.Peteffi,Gerson Peteffi,≤100
413694085843459,Instituto Célia Godoy,These ads ran without a disclaimer,≤100
102437907796429,Gabriel Figueirêdo,Gabriel Figueiredo,≤100
165792580786964,Vereador Rafael Volpato,Rafael Volpato,≤100
496541853769934,Dr.Furlan,Dr. Furlan,≤100
479098555541404,Smart Escritórios Inteligentes,These ads ran without a disclaimer,≤100
288048917944270,Prefeitura Municipal de Bataguassu,PREFEITURA MUNICIPAL DE BATAGUASSU,≤100
432332470192505,Verônica Lima,Verônica Lima,≤100
302557556428614,Ilha do Governador News,Leandro De Oliveira Malfitano,≤100
184309579058535,Legislacaodestacada,These ads ran without a disclaimer,≤100
376231356370053,Cabo Tony Fernandes,Tony Magno Fernandes Nascimento,≤100
1678968508997122,Diego Fonseca,These ads ran without a disclaimer,≤100
229551624345892,Editora Trinitas,EDITORA TRINITAS LTDA,≤100
108272205154336,Complem Cooperado,Giovane Vieira,≤100
104929198579247,O escobar Pro,FVC - Formula da Vitória Certa,≤100
561073473937544,Emidio de Souza,Emidio Souza,≤100
102424224953687,A Política Birigui - Notícias e Informações,Paulo Sergio Negrao Barbosa,≤100
780458271981477,Prefeitura de Gravataí,ADTREE PLUS GESTÃO E SOLUÇÕES EM INTERNET LTDA,≤100
